epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7938,2.06481,100.17,0.78737,0,0,0,0,3.14956,66.1958,1.06384,0.00036,0.00036,0.00036
2,17.0575,2.65736,73.3373,0.90714,0,0,0,0,3.20111,58.7707,0.96847,0.000725348,0.000725348,0.000725348
3,23.5333,2.62221,66.2148,0.86994,0,0,0,0,3.80983,69.7408,1.21724,0.00107565,0.00107565,0.00107565
4,29.5582,3.15132,45.9902,1.00125,1e-05,0.00855,1e-05,0,3.08496,28.4672,1.02305,0.0014109,0.0014109,0.0014109
5,35.4652,3.23359,41.1611,0.97918,8e-05,0.05983,4e-05,1e-05,3.18095,44.0256,1.3654,0.0017311,0.0017311,0.0017311
6,41.194,3.06597,38.9146,1.00931,0.00033,0.24786,0.00526,0.00109,3.25391,21.646,1.10096,0.001802,0.001802,0.001802
7,46.9281,3.15553,34.0982,1.00642,0.00035,0.26496,0.00262,0.00043,3.61721,17.8705,1.12064,0.0017624,0.0017624,0.0017624
8,52.4236,2.74741,30.0782,0.93007,0,0,0,0,2.1203,25.1841,0.78664,0.0017228,0.0017228,0.0017228
9,58.0095,2.90779,22.7818,0.93786,6e-05,0.04274,3e-05,1e-05,4.32514,24.5408,1.36588,0.0016832,0.0016832,0.0016832
10,63.6271,2.61953,20.9056,0.89204,0.01874,0.02564,0.00375,0.00151,3.64836,11.5003,1.12266,0.0016436,0.0016436,0.0016436
11,69.3154,2.87184,19.4159,0.94834,0.25835,0.05128,0.04266,0.01575,2.69818,11.7424,0.86263,0.001604,0.001604,0.001604
12,75.0458,3.03959,16.9844,0.9381,0.02002,0.00855,0.00655,0.00303,2.23447,18.4872,0.64355,0.0015644,0.0015644,0.0015644
13,80.5691,2.73364,13.2763,0.88002,0.15829,0.09402,0.04484,0.01224,2.9176,6.64656,0.9363,0.0015248,0.0015248,0.0015248
14,86.3112,2.83491,12.1489,0.96168,0.32386,0.16239,0.12842,0.03915,2.76975,5.55397,0.92154,0.0014852,0.0014852,0.0014852
15,92.0798,2.97616,11.705,0.93127,0.56539,0.07692,0.11343,0.02407,2.71927,5.30533,0.92186,0.0014456,0.0014456,0.0014456
16,97.7679,2.84316,9.56078,0.95756,0.23731,0.07713,0.0748,0.02523,2.96152,4.89865,0.96436,0.001406,0.001406,0.001406
