epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07394,1.11988,2.87867,1.22589,0.73245,0.79915,0.84394,0.58894,1.00272,2.70649,1.10239,0.0003334,0.0003334,0.0003334
2,11.9959,1.05277,1.25304,1.13485,0.86014,0.81181,0.84026,0.58886,1.05334,2.02772,1.10753,0.000615806,0.000615806,0.000615806
3,15.8887,1.09173,1.03863,1.15039,0.67268,0.79338,0.82598,0.59334,1.04977,1.7026,1.1212,0.000828899,0.000828899,0.000828899
4,19.508,1.07163,0.9962,1.1111,0.47841,0.82065,0.74882,0.47603,1.07487,4.36356,1.22762,0.000972678,0.000972678,0.000972678
5,23.2315,1.07134,0.88533,1.11036,0.69903,0.76912,0.84293,0.59446,1.07971,1.40638,1.1963,0.00100687,0.00100687,0.00100687
6,27.1059,0.96768,0.82352,1.05343,0.76246,0.86393,0.84681,0.62587,1.03207,1.01279,1.12329,0.000841835,0.000841835,0.000841835
7,30.6803,0.95229,0.77913,1.05642,0.84689,0.87523,0.8598,0.64781,0.94127,0.9411,1.05593,0.000676802,0.000676802,0.000676802
8,34.521,0.88822,0.72255,1.0338,0.83553,0.8762,0.85523,0.66583,0.81227,0.86493,1.00862,0.000511769,0.000511769,0.000511769
9,38.3716,0.78334,0.66392,0.98932,0.88596,0.89337,0.88085,0.68524,0.80413,0.70857,0.98833,0.000346736,0.000346736,0.000346736
10,41.8971,0.77222,0.62753,0.98997,0.89501,0.90217,0.89209,0.71875,0.73628,0.62543,0.96401,0.000181703,0.000181703,0.000181703
