epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1153,0.52203,108.253,0.18647,0,0,0,0,3.88253,92.1625,1.30788,0.00054,0.00054,0.00054
2,18.5135,0.06768,81.8315,0.02095,0,0,0,0,3.38276,106.38,1.07166,0.00107822,0.00107822,0.00107822
3,25.5253,0.22199,66.9701,0.07027,0,0,0,0,0.0003,69.4984,0.00066,0.00159426,0.00159426,0.00159426
4,32.4199,0.77793,54.7377,0.25714,0,0,0,0,3.74939,23.9311,1.04299,0.0018812,0.0018812,0.0018812
5,39.376,0.49882,43.457,0.16754,0,0,0,0,4.36639,51.8246,3.5639,0.0018416,0.0018416,0.0018416
6,46.1527,0.00144,33.4819,0.00078,0,0,0,0,4.47055,204.07,1.49516,0.001802,0.001802,0.001802
7,52.9523,0,25.6536,0,0,0,0,0,4.51104,24.2568,1.29418,0.0017624,0.0017624,0.0017624
8,59.736,0.11759,19.4582,0.03493,0,0,0,0,3.86054,12.015,1.21359,0.0017228,0.0017228,0.0017228
9,66.4805,0.15153,15.4601,0.0466,0,0,0,0,3.90766,10.1747,1.26266,0.0016832,0.0016832,0.0016832
10,73.2854,0.45136,11.9294,0.13693,0,0,0,0,2.81324,8.57698,0.85136,0.0016436,0.0016436,0.0016436
11,79.9846,0.22533,8.61935,0.0569,0,0,0,0,3.7319,8.73087,0.9414,0.001604,0.001604,0.001604
12,86.4014,0.26472,6.42473,0.08625,0,0,0,0,3.62095,8.70681,0.96182,0.0015644,0.0015644,0.0015644
13,93.1081,0.73724,5.27367,0.25087,0,0,0,0,4.38681,5.72484,1.28171,0.0015248,0.0015248,0.0015248
14,99.4592,0.55546,3.84944,0.15997,0,0,0,0,3.80465,5.23333,1.13815,0.0014852,0.0014852,0.0014852
15,105.905,0.4008,2.7379,0.10653,0,0,0,0,0.26012,0.33027,0.11906,0.0014456,0.0014456,0.0014456
16,112.195,0.11258,1.76123,0.03484,0,0,0,0,0.9612,1.06836,0.44305,0.001406,0.001406,0.001406
17,118.564,0.8521,2.1753,0.27498,0,0,0,0,4.74379,5.67159,1.43146,0.0013664,0.0013664,0.0013664
18,124.899,0.5417,1.54483,0.15929,0,0,0,0,4.27518,5.83137,1.185,0.0013268,0.0013268,0.0013268
19,131.3,0.60468,1.48452,0.15867,0,0,0,0,4.42632,6.02781,1.21223,0.0012872,0.0012872,0.0012872
20,137.755,0.49775,1.28242,0.12669,0,0,0,0,4.33671,6.29055,1.2124,0.0012476,0.0012476,0.0012476
21,144.159,0.41405,0.98782,0.1064,0,0,0,0,1.67326,2.37399,0.48347,0.001208,0.001208,0.001208
22,150.761,0.6425,1.31241,0.17335,0,0,0,0,1.61965,2.95547,0.61822,0.0011684,0.0011684,0.0011684
23,157.322,0.36127,0.79387,0.09866,0,0,0,0,0.17688,0.23861,0.08938,0.0011288,0.0011288,0.0011288
24,163.904,0.53607,1.04199,0.14837,0,0,0,0,3.91735,4.62737,0.93142,0.0010892,0.0010892,0.0010892
25,170.316,0.72483,1.30079,0.18606,0,0,0,0,3.9747,5.99086,1.22332,0.0010496,0.0010496,0.0010496
26,176.759,0.77938,1.30078,0.2121,0,0,0,0,4.36841,6.2324,1.18055,0.00101,0.00101,0.00101
27,183.092,0.70835,1.24111,0.20536,0,0,0,0,4.38117,6.97845,1.16919,0.0009704,0.0009704,0.0009704
28,189.536,0.67583,1.15196,0.17817,0,0,0,0,4.19962,6.80409,1.17067,0.0009308,0.0009308,0.0009308
29,195.973,0.54025,0.97751,0.16611,0,0,0,0,4.44275,6.39864,1.23388,0.0008912,0.0008912,0.0008912
30,202.439,0.75805,1.24576,0.21476,0,0,0,0,4.37198,6.84825,1.20986,0.0008516,0.0008516,0.0008516
31,208.905,0.51979,0.8893,0.15174,0,0,0,0,4.19104,6.909,1.35601,0.000812,0.000812,0.000812
32,215.364,0.50388,1.01658,0.1502,0,0,0,0,4.06395,6.55719,1.20248,0.0007724,0.0007724,0.0007724
33,221.777,0.66148,1.10645,0.17436,0,0,0,0,4.11234,6.86669,1.1437,0.0007328,0.0007328,0.0007328
34,228.202,0.72951,1.20759,0.19188,0,0,0,0,4.0472,7.27318,1.13067,0.0006932,0.0006932,0.0006932
35,234.654,0.72477,1.3052,0.2045,0,0,0,0,4.06526,7.23981,1.14108,0.0006536,0.0006536,0.0006536
36,241.239,0.85878,1.55085,0.24306,0,0,0,0,4.06715,7.05523,1.14554,0.000614,0.000614,0.000614
37,247.798,0.671,1.17448,0.20704,0,0,0,0,4.14679,7.07281,1.16483,0.0005744,0.0005744,0.0005744
38,254.259,0.96149,1.76627,0.29445,0,0,0,0,4.1352,6.92374,1.16881,0.0005348,0.0005348,0.0005348
39,260.75,0.8146,1.31241,0.2275,0,0,0,0,4.11268,6.91466,1.17006,0.0004952,0.0004952,0.0004952
40,267.187,0.68388,1.24935,0.20641,0,0,0,0,4.05934,7.14424,1.15057,0.0004556,0.0004556,0.0004556
41,274.56,0.68336,1.29243,0.20188,0,0,0,0,4.12077,7.15614,1.14898,0.000416,0.000416,0.000416
42,281.107,0.8291,1.35196,0.24588,0,0,0,0,4.19231,6.87091,1.1776,0.0003764,0.0003764,0.0003764
43,287.588,0.64355,1.23727,0.19887,0,0,0,0,4.16575,7.11624,1.16803,0.0003368,0.0003368,0.0003368
44,294.005,0.55867,1.2274,0.18466,0,0,0,0,4.12229,6.53068,1.15791,0.0002972,0.0002972,0.0002972
45,300.518,0.66001,1.2169,0.20594,0,0,0,0,4.11439,6.56165,1.15758,0.0002576,0.0002576,0.0002576
46,307.035,0.58659,1.09426,0.17417,0,0,0,0,4.09965,6.96012,1.1522,0.000218,0.000218,0.000218
47,313.533,0.65308,1.4456,0.22752,0,0,0,0,4.1109,6.97052,1.15337,0.0001784,0.0001784,0.0001784
48,320.05,0.75776,1.39667,0.24712,0,0,0,0,4.16941,6.83894,1.1683,0.0001388,0.0001388,0.0001388
49,326.492,0.57959,1.1059,0.17853,0,0,0,0,4.21326,6.80887,1.17727,9.92e-05,9.92e-05,9.92e-05
50,333.06,0.87113,1.57676,0.28376,0,0,0,0,4.2035,6.71519,1.17202,5.96e-05,5.96e-05,5.96e-05
